timestamp,container,cpu_perc,mem_usage,mem_perc
2026-04-19T22:04:03Z,georag-neo4j,0.53%,1.124GiB / 9GiB,12.49%
2026-04-19T22:04:03Z,georag-martin,2.26%,2.402MiB / 512MiB,0.47%
2026-04-19T22:04:03Z,georag-qdrant,0.09%,32.22MiB / 4GiB,0.79%
2026-04-19T22:04:03Z,georag-laravel-reverb,0.00%,43.97MiB / 512MiB,8.59%
2026-04-19T22:04:03Z,georag-pgbouncer,0.01%,1.719MiB / 256MiB,0.67%
2026-04-19T22:04:03Z,georag-ofelia,0.00%,2.285MiB / 31.3GiB,0.01%
2026-04-19T22:04:03Z,georag-postgresql,0.00%,470.1MiB / 4GiB,11.48%
2026-04-19T22:04:03Z,georag-backup-agent,0.00%,336KiB / 512MiB,0.06%
2026-04-19T22:04:03Z,georag-dagster-webserver,1.55%,273.4MiB / 1GiB,26.70%
2026-04-19T22:04:03Z,georag-laravel-horizon,0.51%,252MiB / 1GiB,24.61%
2026-04-19T22:04:03Z,georag-dagster-daemon,3.14%,389.3MiB / 1GiB,38.02%
2026-04-19T22:04:03Z,georag-fastapi,0.68%,2.266GiB / 4GiB,56.66%
2026-04-19T22:04:03Z,georag-laravel-octane,0.62%,342.6MiB / 2GiB,16.73%
2026-04-19T22:04:03Z,georag-redis,0.40%,5.535MiB / 1GiB,0.54%
2026-04-19T22:04:03Z,georag-ollama,0.00%,110.5MiB / 31.3GiB,0.34%
2026-04-19T22:04:03Z,georag-minio,0.17%,111.3MiB / 2GiB,5.43%
2026-04-19T22:04:36Z,georag-neo4j,0.63%,1.125GiB / 9GiB,12.50%
2026-04-19T22:04:36Z,georag-martin,0.03%,2.367MiB / 512MiB,0.46%
2026-04-19T22:04:36Z,georag-qdrant,0.02%,32.22MiB / 4GiB,0.79%
2026-04-19T22:04:36Z,georag-laravel-reverb,0.00%,43.98MiB / 512MiB,8.59%
2026-04-19T22:04:36Z,georag-pgbouncer,1.15%,1.73MiB / 256MiB,0.68%
2026-04-19T22:04:36Z,georag-ofelia,0.00%,2.285MiB / 31.3GiB,0.01%
2026-04-19T22:04:36Z,georag-postgresql,10.57%,470.1MiB / 4GiB,11.48%
2026-04-19T22:04:36Z,georag-backup-agent,65.97%,40.17MiB / 512MiB,7.85%
2026-04-19T22:04:36Z,georag-dagster-webserver,1.94%,273.5MiB / 1GiB,26.71%
2026-04-19T22:04:36Z,georag-laravel-horizon,0.33%,252MiB / 1GiB,24.61%
2026-04-19T22:04:36Z,georag-dagster-daemon,4.71%,252.3MiB / 1GiB,24.64%
2026-04-19T22:04:36Z,georag-fastapi,0.64%,2.266GiB / 4GiB,56.66%
2026-04-19T22:04:36Z,georag-laravel-octane,0.83%,342.6MiB / 2GiB,16.73%
2026-04-19T22:04:36Z,georag-redis,0.35%,5.535MiB / 1GiB,0.54%
2026-04-19T22:04:36Z,georag-ollama,0.00%,110.5MiB / 31.3GiB,0.34%
2026-04-19T22:04:36Z,georag-minio,0.37%,111.3MiB / 2GiB,5.43%
2026-04-19T22:05:08Z,georag-neo4j,0.46%,1.125GiB / 9GiB,12.50%
2026-04-19T22:05:08Z,georag-martin,0.02%,2.367MiB / 512MiB,0.46%
2026-04-19T22:05:08Z,georag-qdrant,0.01%,32.23MiB / 4GiB,0.79%
2026-04-19T22:05:08Z,georag-laravel-reverb,0.00%,43.98MiB / 512MiB,8.59%
2026-04-19T22:05:08Z,georag-pgbouncer,0.01%,2.23MiB / 256MiB,0.87%
2026-04-19T22:05:08Z,georag-ofelia,0.00%,2.285MiB / 31.3GiB,0.01%
2026-04-19T22:05:08Z,georag-postgresql,0.73%,470.1MiB / 4GiB,11.48%
2026-04-19T22:05:08Z,georag-backup-agent,0.00%,5.473MiB / 512MiB,1.07%
2026-04-19T22:05:08Z,georag-dagster-webserver,1.41%,273.6MiB / 1GiB,26.72%
2026-04-19T22:05:08Z,georag-laravel-horizon,0.20%,252MiB / 1GiB,24.61%
2026-04-19T22:05:08Z,georag-dagster-daemon,1.47%,390.1MiB / 1GiB,38.10%
2026-04-19T22:05:08Z,georag-fastapi,0.48%,2.267GiB / 4GiB,56.66%
2026-04-19T22:05:08Z,georag-laravel-octane,0.69%,342.6MiB / 2GiB,16.73%
2026-04-19T22:05:08Z,georag-redis,0.24%,5.539MiB / 1GiB,0.54%
2026-04-19T22:05:08Z,georag-ollama,0.00%,110.3MiB / 31.3GiB,0.34%
2026-04-19T22:05:08Z,georag-minio,0.24%,157.5MiB / 2GiB,7.69%
2026-04-19T22:05:41Z,georag-neo4j,0.49%,1.125GiB / 9GiB,12.50%
2026-04-19T22:05:41Z,georag-martin,0.02%,2.355MiB / 512MiB,0.46%
2026-04-19T22:05:41Z,georag-qdrant,0.02%,32.22MiB / 4GiB,0.79%
2026-04-19T22:05:41Z,georag-laravel-reverb,0.00%,43.98MiB / 512MiB,8.59%
2026-04-19T22:05:41Z,georag-pgbouncer,0.01%,2.223MiB / 256MiB,0.87%
2026-04-19T22:05:41Z,georag-ofelia,0.02%,2.285MiB / 31.3GiB,0.01%
2026-04-19T22:05:41Z,georag-postgresql,6.85%,470.1MiB / 4GiB,11.48%
2026-04-19T22:05:41Z,georag-backup-agent,0.00%,5.469MiB / 512MiB,1.07%
2026-04-19T22:05:41Z,georag-dagster-webserver,1.69%,273.7MiB / 1GiB,26.73%
2026-04-19T22:05:41Z,georag-laravel-horizon,0.20%,252.5MiB / 1GiB,24.66%
2026-04-19T22:05:41Z,georag-dagster-daemon,3.41%,254MiB / 1GiB,24.80%
2026-04-19T22:05:41Z,georag-fastapi,0.67%,2.266GiB / 4GiB,56.66%
2026-04-19T22:05:41Z,georag-laravel-octane,4.36%,343MiB / 2GiB,16.75%
2026-04-19T22:05:41Z,georag-redis,0.26%,5.551MiB / 1GiB,0.54%
2026-04-19T22:05:41Z,georag-ollama,0.00%,110.3MiB / 31.3GiB,0.34%
2026-04-19T22:05:41Z,georag-minio,0.21%,158.1MiB / 2GiB,7.72%
2026-04-19T22:06:13Z,test-pg-restore-c3,0.00%,29.42MiB / 31.3GiB,0.09%
2026-04-19T22:06:13Z,georag-neo4j,0.46%,1.125GiB / 9GiB,12.50%
2026-04-19T22:06:13Z,georag-martin,0.02%,2.559MiB / 512MiB,0.50%
2026-04-19T22:06:13Z,georag-qdrant,0.02%,32.22MiB / 4GiB,0.79%
2026-04-19T22:06:13Z,georag-laravel-reverb,0.00%,43.98MiB / 512MiB,8.59%
2026-04-19T22:06:13Z,georag-pgbouncer,0.01%,2.785MiB / 256MiB,1.09%
2026-04-19T22:06:13Z,georag-ofelia,0.00%,2.285MiB / 31.3GiB,0.01%
2026-04-19T22:06:13Z,georag-postgresql,0.02%,470.1MiB / 4GiB,11.48%
2026-04-19T22:06:13Z,georag-backup-agent,0.00%,5.422MiB / 512MiB,1.06%
2026-04-19T22:06:13Z,georag-dagster-webserver,1.54%,273.8MiB / 1GiB,26.74%
2026-04-19T22:06:13Z,georag-laravel-horizon,0.19%,252.5MiB / 1GiB,24.66%
2026-04-19T22:06:13Z,georag-dagster-daemon,1.61%,391MiB / 1GiB,38.18%
2026-04-19T22:06:13Z,georag-fastapi,0.55%,2.266GiB / 4GiB,56.65%
2026-04-19T22:06:13Z,georag-laravel-octane,0.64%,343.3MiB / 2GiB,16.76%
2026-04-19T22:06:13Z,georag-redis,0.23%,5.547MiB / 1GiB,0.54%
2026-04-19T22:06:13Z,georag-ollama,0.00%,109.5MiB / 31.3GiB,0.34%
2026-04-19T22:06:13Z,georag-minio,0.19%,157.9MiB / 2GiB,7.71%
2026-04-19T22:06:46Z,georag-neo4j,0.50%,1.125GiB / 9GiB,12.50%
2026-04-19T22:06:46Z,georag-martin,0.02%,2.582MiB / 512MiB,0.50%
2026-04-19T22:06:46Z,georag-qdrant,0.01%,32.22MiB / 4GiB,0.79%
2026-04-19T22:06:46Z,georag-laravel-reverb,0.00%,43.98MiB / 512MiB,8.59%
2026-04-19T22:06:46Z,georag-pgbouncer,3.51%,2.961MiB / 256MiB,1.16%
2026-04-19T22:06:46Z,georag-ofelia,0.00%,2.285MiB / 31.3GiB,0.01%
2026-04-19T22:06:46Z,georag-postgresql,20.14%,470.1MiB / 4GiB,11.48%
2026-04-19T22:06:46Z,georag-backup-agent,0.00%,5.418MiB / 512MiB,1.06%
2026-04-19T22:06:46Z,georag-dagster-webserver,1.56%,274.2MiB / 1GiB,26.78%
2026-04-19T22:06:46Z,georag-laravel-horizon,0.20%,253.5MiB / 1GiB,24.75%
2026-04-19T22:06:46Z,georag-dagster-daemon,8.22%,255.4MiB / 1GiB,24.94%
2026-04-19T22:06:46Z,georag-fastapi,0.54%,2.266GiB / 4GiB,56.65%
2026-04-19T22:06:46Z,georag-laravel-octane,0.67%,343.4MiB / 2GiB,16.77%
2026-04-19T22:06:46Z,georag-redis,0.26%,5.543MiB / 1GiB,0.54%
2026-04-19T22:06:46Z,georag-ollama,0.00%,109.4MiB / 31.3GiB,0.34%
2026-04-19T22:06:46Z,georag-minio,0.30%,158.2MiB / 2GiB,7.72%
2026-04-19T22:07:18Z,georag-neo4j,0.46%,1.125GiB / 9GiB,12.50%
2026-04-19T22:07:18Z,georag-martin,0.02%,2.582MiB / 512MiB,0.50%
2026-04-19T22:07:18Z,georag-qdrant,0.44%,32.23MiB / 4GiB,0.79%
2026-04-19T22:07:18Z,georag-laravel-reverb,0.00%,43.98MiB / 512MiB,8.59%
2026-04-19T22:07:18Z,georag-pgbouncer,0.02%,2.953MiB / 256MiB,1.15%
2026-04-19T22:07:18Z,georag-ofelia,0.00%,2.285MiB / 31.3GiB,0.01%
2026-04-19T22:07:18Z,georag-postgresql,0.80%,470.1MiB / 4GiB,11.48%
2026-04-19T22:07:18Z,georag-backup-agent,0.00%,5.418MiB / 512MiB,1.06%
2026-04-19T22:07:18Z,georag-dagster-webserver,1.54%,274.4MiB / 1GiB,26.80%
2026-04-19T22:07:18Z,georag-laravel-horizon,0.51%,253.6MiB / 1GiB,24.77%
2026-04-19T22:07:18Z,georag-dagster-daemon,1.55%,392MiB / 1GiB,38.28%
2026-04-19T22:07:18Z,georag-fastapi,0.58%,2.266GiB / 4GiB,56.65%
2026-04-19T22:07:18Z,georag-laravel-octane,0.63%,343.4MiB / 2GiB,16.77%
2026-04-19T22:07:18Z,georag-redis,0.43%,5.789MiB / 1GiB,0.57%
2026-04-19T22:07:18Z,georag-ollama,0.00%,109.4MiB / 31.3GiB,0.34%
2026-04-19T22:07:18Z,georag-minio,0.21%,158.3MiB / 2GiB,7.73%
2026-04-19T22:07:51Z,test-pg-restore-c3,0.00%,31.8MiB / 31.3GiB,0.10%
2026-04-19T22:07:51Z,georag-neo4j,0.53%,1.125GiB / 9GiB,12.50%
2026-04-19T22:07:51Z,georag-martin,0.02%,2.582MiB / 512MiB,0.50%
2026-04-19T22:07:51Z,georag-qdrant,0.02%,32.22MiB / 4GiB,0.79%
2026-04-19T22:07:51Z,georag-laravel-reverb,3.21%,43.98MiB / 512MiB,8.59%
2026-04-19T22:07:51Z,georag-pgbouncer,0.02%,2.961MiB / 256MiB,1.16%
2026-04-19T22:07:51Z,georag-ofelia,0.00%,2.285MiB / 31.3GiB,0.01%
2026-04-19T22:07:51Z,georag-postgresql,13.02%,470.1MiB / 4GiB,11.48%
2026-04-19T22:07:51Z,georag-backup-agent,0.00%,5.418MiB / 512MiB,1.06%
2026-04-19T22:07:51Z,georag-dagster-webserver,1.60%,273.8MiB / 1GiB,26.74%
2026-04-19T22:07:51Z,georag-laravel-horizon,0.49%,253.6MiB / 1GiB,24.77%
2026-04-19T22:07:51Z,georag-dagster-daemon,6.31%,256.2MiB / 1GiB,25.02%
2026-04-19T22:07:51Z,georag-fastapi,0.63%,2.266GiB / 4GiB,56.65%
2026-04-19T22:07:51Z,georag-laravel-octane,0.70%,343.4MiB / 2GiB,16.77%
2026-04-19T22:07:51Z,georag-redis,0.47%,5.797MiB / 1GiB,0.57%
2026-04-19T22:07:51Z,georag-ollama,0.00%,109.4MiB / 31.3GiB,0.34%
2026-04-19T22:07:51Z,georag-minio,0.17%,332.6MiB / 2GiB,16.24%
2026-04-19T22:08:24Z,test-pg-restore-c3,0.00%,31.71MiB / 31.3GiB,0.10%
2026-04-19T22:08:24Z,georag-neo4j,177.97%,1.331GiB / 9GiB,14.79%
2026-04-19T22:08:24Z,georag-martin,0.02%,2.621MiB / 512MiB,0.51%
2026-04-19T22:08:24Z,georag-qdrant,0.01%,32.22MiB / 4GiB,0.79%
2026-04-19T22:08:24Z,georag-laravel-reverb,0.00%,43.97MiB / 512MiB,8.59%
2026-04-19T22:08:24Z,georag-pgbouncer,0.01%,3.027MiB / 256MiB,1.18%
2026-04-19T22:08:24Z,georag-ofelia,0.00%,2.285MiB / 31.3GiB,0.01%
2026-04-19T22:08:24Z,georag-postgresql,0.02%,470.1MiB / 4GiB,11.48%
2026-04-19T22:08:24Z,georag-backup-agent,0.00%,5.379MiB / 512MiB,1.05%
2026-04-19T22:08:24Z,georag-dagster-webserver,1.70%,273.9MiB / 1GiB,26.75%
2026-04-19T22:08:24Z,georag-laravel-horizon,0.20%,254.1MiB / 1GiB,24.82%
2026-04-19T22:08:24Z,georag-dagster-daemon,1.68%,393.6MiB / 1GiB,38.43%
2026-04-19T22:08:24Z,georag-fastapi,0.59%,2.266GiB / 4GiB,56.64%
2026-04-19T22:08:24Z,georag-laravel-octane,0.65%,343.6MiB / 2GiB,16.78%
2026-04-19T22:08:24Z,georag-redis,0.27%,5.539MiB / 1GiB,0.54%
2026-04-19T22:08:24Z,georag-ollama,0.00%,108.9MiB / 31.3GiB,0.34%
2026-04-19T22:08:24Z,georag-minio,0.21%,316MiB / 2GiB,15.43%
2026-04-19T22:08:56Z,test-pg-restore-c3,0.00%,211.1MiB / 31.3GiB,0.66%
2026-04-19T22:08:56Z,georag-neo4j,0.58%,1.125GiB / 9GiB,12.50%
2026-04-19T22:08:56Z,georag-martin,0.02%,2.75MiB / 512MiB,0.54%
2026-04-19T22:08:56Z,georag-qdrant,0.01%,32.22MiB / 4GiB,0.79%
2026-04-19T22:08:56Z,georag-laravel-reverb,0.03%,43.98MiB / 512MiB,8.59%
2026-04-19T22:08:56Z,georag-pgbouncer,0.01%,3.449MiB / 256MiB,1.35%
2026-04-19T22:08:56Z,georag-ofelia,0.00%,2.285MiB / 31.3GiB,0.01%
2026-04-19T22:08:56Z,georag-postgresql,7.54%,470.2MiB / 4GiB,11.48%
2026-04-19T22:08:56Z,georag-backup-agent,0.00%,5.371MiB / 512MiB,1.05%
2026-04-19T22:08:56Z,georag-dagster-webserver,1.60%,274MiB / 1GiB,26.75%
2026-04-19T22:08:56Z,georag-laravel-horizon,0.28%,255.2MiB / 1GiB,24.92%
2026-04-19T22:08:56Z,georag-dagster-daemon,3.88%,257.7MiB / 1GiB,25.16%
2026-04-19T22:08:56Z,georag-fastapi,0.56%,2.266GiB / 4GiB,56.64%
2026-04-19T22:08:56Z,georag-laravel-octane,0.66%,343.8MiB / 2GiB,16.79%
2026-04-19T22:08:56Z,georag-redis,0.35%,5.562MiB / 1GiB,0.54%
2026-04-19T22:08:56Z,georag-ollama,0.00%,108.9MiB / 31.3GiB,0.34%
2026-04-19T22:08:56Z,georag-minio,0.25%,315.9MiB / 2GiB,15.43%
2026-04-19T22:09:29Z,test-pg-restore-c3,0.00%,227.1MiB / 31.3GiB,0.71%
2026-04-19T22:09:29Z,georag-neo4j,0.46%,1.125GiB / 9GiB,12.50%
